booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,3D,054df1da09d17d8efecad438d28299ebea71a038b868e3f2494e84862a59c178,985d67522f17545947088177ffd59ea8702709ec835493de2194f1c2479784a6
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,18A,5818cf8b0a91b321a3206f925880bacd5317f0f2909b41beac8d44aa54e32b26,aa7ee7d23b01ff6ea11e0289aed82cb147b33cc5df6de16058bb3915f6c0ccbe
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,30C,4347793d24a511fe3f932b5bc6dae4da478b54119cdaadb92904d67532cbb136,4e33ce849c3d764787254beb415674786ae346b69cb4246f43a779030c169fac
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,33A,e14a9b1b389ea10474c6b94fe609d97245d08ba9ba251c5e584a378cdfab3c74,27696444174d7d93dfa426e3a915a87b7a7a362203dc309ba306de359e594d8a
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,25C,4d3dfbe234618a5c1df5af10d1e77c5da9938413a837f36da528268bca094fb3,95c1ff00e23a76783142e73d30f571eecfb7633fe21a853d70038afc4d5e6902
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,13D,f43297aad87418b916cac6ae744f9ce33edc2a8784f4256defcf93ccae1b922a,42b9936ba589960d37e339aa4cfc4aafaacf701f688c3a6b1a8f127b0737aaa9
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,17F,664c37113f58de9db9b856aec506a6516f72bfbba05a873058908bda5665fb66,c0c31d265f7a6cb09931061c034863a0be635062a670c3bf793a7792964b8d8b
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,22E,d33c784e667ab35906dce0eb4123213f045922433162d2e360e09ed92f84beaf,8cbfb5c7045afc381c07f5af0f74cb0c8d52174a2adc5183fe43e2b07b577256
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,34F,452cb82b6826e74009c291b96e51c90ad5640ebb7044998376072ba76b05cb51,9fde40b1b124a899bd38d1710dd7109b0a2abaad5fce54f01123e3a0968f37a3
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,33C,e960db8dc0c6a259272d0cdb76aa03b055221c65fb27c977d3043d79d411f659,a7caeb0999e21599e6ff0f8f2ef3f017230359b1c8fd1e31aad6d9882d7a5b07
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,15B,ccc2a1bd52405879a3bc76dae65780f375fb540df5e9d2e9d7d3abe53e79a208,975709b8233d356e3a616f0c5d55f85188b2db658a877ce032e6e5fa00a0eb53
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,22C,23d5bf269d51de51a625e1c75a0f0dfb9bc0fbeceec4e53b270afbfd1e7421ac,42d6463d2f4234c2de62a9167367d56170d6bcc9225217e8d6808e078e03ba5c
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,28B,051e3a923d591a81668cbaa11bf74c588fa10db8ac0e7650643ae6ccc8b96068,ca67232a3e0ec19c66dbc808a7347ca88de434905b4476563f5ed33157c26f7e
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,fab85083e9f77799da2810373757ab2bcaba789e60580d046078a73a50453c99,26E,22b7d90a7bc88cdaaeaad77622a63bce453f3fd984d9aa5b289582e8ed98cc63,b6c4064e4684e816cfaff0008f36c5e108198349c901410530bdd4931c08224d
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,ce79ecb116713ff5346d04d528e0b69c111ddb29f89f71c7489847f9def6277f,21E,11e6b01359f0e70ca1be0d92fc32373dce7b394b72353834df64787482c565dc,251e65d2efa32d22d3867748f5f28c97e6be88ab027b3232a4d6f942c6290b94
B1015,P1431,UK094,2025-10-21 11:37:36.951,,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,6F,ab141bc16e15c5ecfff3708dc203c6b7350015c9dceab7b400f84a9ea78b2a39,d43ebccd9367d0baa391586bc5572112498423dba2447be7a56eaa4c8a2da7d8
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,6A,6d8a3af628fd343624b31d47ce36a410f5b7520060cff71574111c83222199ef,74c11c6d3d1b85a49660b7dc27772c3b29279b344bb3b1cabd1c27c6c13c9ed1
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,f27605d14d86e057ee7d1bb667412de210b87865cc6b2b19d6cf9c9030fc6f52,13B,21a348b6f0dac759df084cb7f702e0bb3dd4292b624f314a08481fc642c5e539,456646c8e244df780216fd166c2bc303ee014cbd11707016f1e1c980532cb5b3
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,f08afc002842ef6c16197f0905029ce91549bdec0d015e96e30190fc31969a97,19B,5ba569ca7cc697d9bee6095ef672693c44cac911be11ef39ae02630b4981f696,f793775bac707cf5926af1e591923d034c3a1d183ce057abc518514518db1385
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,19A,c219e881aa26cded1ba89a8fa113bf19c8886bd4a50ca709965ad7e8e1a6fccc,24c48654ba065d4b7d9c7d4605ce56cb1c8581b376f696512be356a28b2ff190
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,548bb24f886551bdb139f2dd77f8d6f472d18d3fd99a207204fc30e6ad2c5a90,27B,c7c724d156b3affc1adafc726bd291ae773746d154d18b4fb8dcaa7ed23b0931,d113ff53752d2c8a7f2c4103b26640611b36fa7efeb8f82c2da551e9e52db4b3
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,a81b91b550af858b5813b47037200dedd33d200c4448b11e296e408de35de8df,4E,3f1772b78c58f7713d9e846e2924c1cce1e1d649257e093b374d43ba886e6e7d,c25923f01304698336c1029c40f058ca2510a7fb695e74b030792de2586f69ca
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,d10b00994471367e9ef55092ad4fdad4c157e38636d7981e73d0271f0f4b9562,16F,fdc41fbe9f7f54641fed7b11e67b3548c6668006f546be6fe8504a5c88c16c7f,fc601302cfc17a762f2ee5cbf371bfacb32b9b456a49c2e4d3ddadc80ca98c9a
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,baf43ee0438d2412221049ea57b7cc8ae12e72fb43e4330b1dac75ca683c41b0,24B,09f069e24c361673fdff51d39e10e3f9b80b2ad8039c60e6b8a1be48b79d1323,11c3bb168b86f1edb0fca18918acee779048f3fa934e36dfecd3047d8c30d676
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,93992d112475cbf9a55b714ec62eeec9e22502e58494767bc38df2389738e843,30F,c8fd16a90e3cb4e54181299efbce17eda228b1ed6954a608b92f47e0524283d7,8d1fccc44b5869469c05beea3c51aac6466db30ab3bc931b5ee4fbf988042c25
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,1B,c4b317643cf81ab54689ca726d6dfd45e936016b33825044dbca8ede0aa42c34,2b800b21a217f496cac479b6905cf29458506a4346fc8c308b35db45f2621ff6
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,56b08f0dbe81e0fd17a2f4fcf51d07e3893bf17d4a3de4b43cf344fcd3932fae,32C,a5b772d8a2d9c00f491392ca91036e08a9f2b41e2d83861ac9a78fea58d324b0,c674f316826ba5c51701c289f5de2212f7374aeea83a00c6cad53c1dff7a8df4
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,5739e14cea5a14e268d82ad903d9cafa002c471187ff90bfaf9eb056abc7e070,22A,c7fb59a8e88ffde31cd9a22161227de5c3950a43c1c7df30d46447b76cdff40f,f836f045b80695e8f6a1099f12a29a51cef9dd5745b9c4d7cc79c30e0ed136a3
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,807a50e4d654f4cea485c6ebd7274f050195fed06f879b3f975a2ea1102d1213,26E,a0fedd7fd1f7afadf886aeb61539545366757c408d2c12d87e888d1158449a1d,07e1fcd29e12d47243225b455bed39b4b4916530257945a3f048d3472223d6de
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,47899709761c35e8690311381c256b2ace1142579dbfbabbd5611fe4847d60b4,19C,8d5801da64b4187e256d41399db4602fd49aa8d13c5ab50a90d279fd6aa6911d,0f16d8890efa14258e41c546ede550641482df77771f43868d21fcb7830a0b4b
